family	Lvl1	Lvl2	LVl3	type
AA	32.96	19.73	8.42	OE
AA	29.15	10.81	8.69	KD
AA	12.46	4.85	3.27	KO
alk	44	24	12.67	OE
alk	47.67	10.67	10	KD
alk	13.17	6.83	6	KO
oAc	27.93	19.07	4.36	OE
oAc	34.79	8.71	6.64	KD
oAc	18.86	10.43	7.93	KO
alc	20.5	14.75	6.12	OE
alc	49.38	12.25	9.62	KD
alc	9.75	4	3	KO
ter	23.64	10.41	6.36	OE
ter	51.36	11.55	9.86	KD
ter	18.27	5.68	5.36	KO
FAL	28.33	15.44	9	OE
FAL	38.67	12.22	10	KD
FAL	9.22	4	3.44	KO
fla	24.8	11.8	6.8	OE
fla	74	12.4	12.4	KD
fla	20.4	8.4	8.4	KO
aro	18.56	10.78	5.78	OE
aro	49.44	10.22	8.44	KD
aro	24.89	18.22	18.11	KO
bio	44	28	12	OE
bio	29	12.5	9.5	KD
bio	4	4	3.5	KO
stb	20	10	5	OE
stb	80	11	11	KD
stb	21	14	14	KO
