rxnID	rev	GPR	rxn_name_seed	EC	rxnID_kegg	Source;reason
MNXR111232	0		amorphadiene synthase	4.2.3.24	R07630	rhea:26446
Amorphadiene transport	0		Amorphadiene transport			NA
Amorphadiene exchange	0		Amorphadiene exchange			NA
