NewMetName	Charged formula	Charge	compartment	KEGG ID	CHEBI ID	Remark
amorphadiene [cytoplasm]	C15H24	0	cytoplasm		CHEBI:52026	MNXM3912
amorphadiene [extracellular]	C15H24	0	extracellular		CHEBI:52026	MNXM3912
