rxns	l_pac	n_butanol	docosanol	rrbutanediol	phenylethanol	glycerol	methylbutanol	isobutanol	s_reticuline	psilocybin	cinnamoyltropine	choline	hypoxanthine	xanthine	nicotianamine	ergothioneine	glutathione	alanine	arginine	asparagine	aspartate	citrulline	cysteine	glutamate	glutamine	glycine	histidine	homoserine	isoleucine	leucine	lysine	methionine	phenylalanine	proline	serine	threonine	tryptophan	tyrosine	valine	ornithine	hydroxymandelic_acid	cinnamate	mandelic_acid	coumaric_acid	rosmarinic_acid	salidroside	tyrosol	vanillin_beta_glucoside	beta_ionone	putrescine	spermine	ara	dha	epa	ffas	laurate	oleate	palmitoleate	triacylglycerol	ergosterol	catechin	genistein	kaempferol	naringenin	quercetin	adipic_acid	cis_muconate	itaconic_acid	caffeic_acid	succinate	lactate	malate	oxoglutarate	acetate	citrate	fumaric_acid	glycolate	hexanoate	pyruvate	resveratrol	astaxanthin	betaxanthin	beta_carotene	artemisinic_acid	farnesene	amorphadiene	geraniol	limonene	linalool	lupeol	oleanolate	patchoulol	protopanaxadiol	santalene	beta_amyrin	glycyrrhetinic_acid	lycopene	miltiradiene	nootkatone	squalene	taxadien_alpha_yl_acetate	valencene
r_0970	0.000145393899013541	0.00014721749437455	0.000156824582667281	0.000147597724997884	0.000147597724997883	0.000147597724997885	0.000147597724997885	0.000147597724997885	0.000156740946900411	0.00015674094690041	0.000156740946900409	0.000156740946900408	0.000147597724997885	0.000147597724997894	0.000156801725663781	0.000156740946900409	0.000147597724997884	0.000147597724997884	0.000147597724997885	0.000147597724997883	0.000147597724997888	0.000147597724997882	0.000147597724997889	0.000147597724997884	0.000147597724997885	0.000147597724997883	0.000147597724997884	0.000147597724997884	0.000147597724997883	0.000147597724997886	0.000147597724997883	0.000147597724997883	0.000147597724997883	0.000147597724997885	0.000147597724997883	0.000147597724997883	0.000147597724997882	0.000147597724997884	0.000147597724997884	0.000147597724997882	0.000148239946209577	0.000147597724997883	0.000148239946209576	0.00015674094690041	0.000156740946900409	0.000213357609733355	0.000213357609733357	0.00015674094690041	0.000156740946900409	0.000147597724997885	0.000147597724997884	0.00015674094690041	0.00015674094690041	0.000156740946900409	0.000147597724997884	0.000147597724997887	0.000147597724997885	0.000147597724997884	0.000295050411121295	0.000147597724997884	0.000156740946900409	0.00015674094690041	0.00015674094690041	0.000156740946900411	0.00015674094690041	0.000147597724997884	0.000147597724997884	0.000147597724997889	0.00015674094690041	0.000147597724997884	0.000148626543292012	0.000147597724997887	0.000147597724997887	0.000147597724997885	0.000147597724997884	0.000147597724997884	0.000147597724997885	0.00015674094690041	0.000233853584931483	0.000156740946900409	0.000156740946900408	0.00015674094690041	0.000156740946900409	0.000147597724997883	0.000147597724997885	0.000147597724997884	0.000147597724997882	0.000147597724997885	0.00015674094690041	0.000156740946900409	0.00015674094690041	0.00015674094690041	0.000156740946900409	0.000147597724997883	0.000147597724997883	0.00015674094690041	0.000156740946900409	0.000156740946900409	0.000156740946900409	0.000147744353027394	0.00015674094690041	0.000156740946900411
r_0971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_0972	0	0	0.000104549721778187	0	0	0	0	0	0.000104493964600274	0.000104493964600273	0.000104493964600273	0.000104493964600272	0	0	0.000104534483775854	0.000104493964600272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104493964600273	0.000104493964600273	0.000142238406488904	0.000142238406488905	0.000104493964600274	0.000104493964600272	0	0	0.000104493964600273	0.000104493964600273	0.000104493964600273	0	0	0	0	0	0	0.000104493964600273	0.000104493964600273	0.000104493964600273	0.000104493964600274	0.000104493964600273	0	0	0	0.000104493964600273	0	0	0	0	0	0	0	0	0.000104493964600273	0	0.000104493964600272	0.000104493964600272	0.000104493964600273	0.000104493964600273	0	0	0	0	0	0.000104493964600273	0.000104493964600273	0.000104493964600273	0.000104493964600273	0.000104493964600273	0	0	0.000104493964600274	0.000104493964600273	0.000104493964600273	0.000104493964600272	0	0.000104493964600273	0.000104493964600274
r_0973	0	0	0.000261374304445468	0	0	0	0	0	0.000261234911500685	0.000261234911500683	0.000261234911500682	0.000261234911500681	0	0	0.000261336209439635	0.000261234911500681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000261234911500684	0.000261234911500681	0	0	0.000261234911500684	0.000261234911500681	0	0	0.000261234911500683	0.000261234911500683	0.000261234911500682	0	0	0	0	0	0	0.000261234911500681	0.000261234911500683	0.000261234911500683	0.000261234911500684	0.000261234911500683	0	0	0	0.000261234911500683	0	0	0	0	0	0	0	0	0.000261234911500683	0	0.000261234911500681	0.000261234911500681	0.000261234911500683	0.000261234911500682	0	0	0	0	0	0.000261234911500683	0.000261234911500682	0.000261234911500683	0.000261234911500683	0.000261234911500682	0	0	0.000261234911500684	0.000261234911500682	0.000261234911500682	0.000261234911500681	0	0.000261234911500683	0.000261234911500684
r_1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_2113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_2114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000382479140860204	0.000634456700492669	0.000317807528582246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_2213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_2214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_2215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_2216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_2217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1097	0	0	0	0.573205543192374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1099	0.0153258894058114	0.0155181135707413	0.0155664952003225	0.0155581934676385	0.0155581934676385	0.0155581934676383	0.0155581934676384	0.0155581934676385	0.0155581934676386	0.0155581934676385	0.0155581934676384	0.0155581934676384	0.0155581934676386	0.0155581934676385	0.0155642264014567	0.0155581934676384	0.0155581934676385	0.0155581934676385	0.0155581934676384	0.0155581934676384	0.0155581934676385	0.0155581934676385	0.0155581934676386	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676384	0.0155581934676385	0.367355304583004	0.0155581934676384	0.0155581934676385	0.0155581934676385	0.0155581934676386	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0156258896456157	0.0155581934676385	0.0156258896456158	0.0155581934676386	0.0155581934676384	0.00117799487413826	0.00117799487413846	0.0155581934676386	0.0155581934676384	0.0155581934676384	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676386	0.0155581934676385	0.0155581934676385	0.0311010984688094	0.0155581934676385	0.0155581934676384	0.0155581934676385	0.0155581934676385	0.0155581934676386	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676386	0.0155581934676385	0.0155581934676385	0.0156666406273981	0.0155581934676386	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0246503753192469	0.0155581934676384	0.0155581934676384	0.0155581934676385	0.0155581934676384	0.0155581934676385	0.0155581934676384	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676385	0.0155581934676386	0.0155581934676384	0.0155581934676385	0.0155581934676384	0.0155736494460481	0.0155581934676385	0.0155581934676386
r_1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1106	0	0	0.448062637443652	0	0	0	0	0	0.441782337107923	0.435833493837001	0.4327340190666	0.567610051551546	0	0	0.438783272450524	0.455008289505862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.827190399040203	0.121320247664934	0	0	0.43683636736439	0.438191912234556	0	0	0.441991974936357	0.445890013507759	0.442261077443974	0	0	0	0	0	0	0.440116260247111	0.434725747874782	0.430492315592182	0.432574474093611	0.43250003051632	0	0	0	0.434679487515277	0	0	0	0	1.44115822699191	0	0	0	0.801894338058332	0	0.420832809205974	0.43611800778919	0.446997115720203	0.441987919068963	0	0	0	0	0	0.129679242527197	0.444530068154329	0.457416272761558	0.443027889746331	0.439679604659539	0	0	0.441054595342278	0.438934679224035	0.434990082118769	0.513745624424033	0	0.411530205577911	0.513783230874083
r_1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1110	2.91085119780183	3.94778843394569	2.7097301187805	2.57105700513987	3.79654140057904	3.71162609559031	3.08004427746815	2.9279220349393	2.68032533464559	2.67201411680075	2.66586215448075	4.93732689310646	7.49671245735652	8.50613615624191	2.70826744660131	2.7096480755966	4.18438590386492	2.80806622443493	4.02457270029011	4.14572884355574	3.47605675595613	3.87093336854737	4.43632736811668	3.30417310948959	3.4654772586886	3.18264146184675	4.84357325052298	3.80520772702053	3.70690989479201	3.03504677293206	3.97029340983547	4.45480935500643	3.86885605351968	3.4946820434289	3.57270950498224	4.25957521023988	4.49333681724421	3.89780229107928	3.08364713613256	3.49468204342864	3.93630483809706	3.86885605351966	3.90438880974264	3.30464467664455	4.07570840312726	3.39270129366795	3.39164986106845	2.6712486595944	2.67377081589654	3.49468204342866	4.61964419886737	2.69927890240764	2.7169134783514	2.69969511594101	4.65464231766609	5.29895184459854	4.63447583617729	4.61079650705559	6.0307449044562	4.01432042573264	2.69210343415026	2.68157505509596	2.69051497708316	2.69614557789098	2.6905128866558	3.61659310677329	3.75899904970461	3.27784897373823	2.66739252146531	3.28049923210191	2.41212682423377	3.64276254896246	3.39484189355814	3.26824601218622	3.60772599406758	3.64276254896232	4.4165064296398	4.4533007001651	5.84849525230014	2.97688607248864	2.67011486765756	2.6853573296255	2.67995358993731	3.8971826630791	3.93636690774298	3.93636690774203	3.93636690774319	3.93636690774298	3.83201530907916	2.68072367059457	2.69180082074704	2.68163811608944	2.6731517793985	3.93636690774315	3.92275953858942	2.67591217430546	2.67497911181588	2.66856188619745	2.79668445965941	3.92779867400493	2.75956930813184	2.7967456394132
r_1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r_1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
