compound	type	family	MW	bioYield_gem	prodYield_gem	prodRate_gem	bioYield_ec	prodYield_ec	prod_rate_ec	cFlux_l_ec	cFlux_h_ec	Pburden	CCMratio	protScaled
salidroside	heterologous	aromatic	300.307	0.658510482641849	0.000425662597976834	0.000434406856550097	0.658510482641849	0.000425662597976834	0.000434406856550097	1.000001	2.65083535604282	0.103616367932304	0.456077655363766	0.103616264316039
tyrosol	heterologous	aromatic	138.164	0.658510482641855	0.000578147059823219	0.000590010298708326	0.658510482641855	0.000578147059823219	0.000590010298708326	1.000001	2.64997801549021	0.103616367932304	0.456084793390703	0.103616264316039
vanillin_beta_glucoside	heterologous	aromatic	314.29	0.483767870863025	0.00169894811969388	0.00172105498916289	0.483767870863025	0.00169894811969388	0.00172105498916289	1.000001	2.38703253377394	0.103616367932304	0.477106128756703	0.103616264316039
beta_ionone	heterologous	aromatic	192.3	0.48376787086302	0.000986727320588848	0.000999335302061502	0.48376787086302	0.000986727320588848	0.000999335302061502	1.000001	2.38759936603439	0.103616367932304	0.470748449471374	0.103616264316039
putrescine	native	bioamine	90.1674	0.483767870863022	0.486268852044246	3.31911231711454	0.483767870863022	0.486268852044246	3.31911231711454	1.000001	5.97664214089473	0.0293616145311832	0.332016439388952	0.029361585169598
spermine	native	bioamine	206.372	0.483767870863024	0.152231590988233	0.457261841982038	0.483767870863024	0.152231590988233	0.457261841982038	1.000001	6.07713702004212	0.0575938102626212	0.348670355549291	0.0575937526688685
ara	heterologous	fatty acids and lipids	304.474	0.483767870863024	0.000382478758381433	0.00038752988876489	0.483767870863024	0.000382478758381433	0.00038752988876489	1.000001	2.40301018726822	0.103616367932304	0.225312852785481	0.103616264316039
dha	heterologous	fatty acids and lipids	328.488	0.483767870863024	0.000317228033018309	0.000321462034197427	0.483767870863024	0.000317228033018309	0.000321462034197427	1.000001	2.41319048811847	0.103616367932304	0.248692737243969	0.103616264316039
epa	heterologous	fatty acids and lipids	302.451	0.483767870863022	0.000317807210774989	0.00032200238401009	0.483767870863022	0.000317807210774989	0.00032200238401009	1.000001	2.40324921254601	0.103616367932304	0.247149138463831	0.103616264316039
ffas	native	fatty acids and lipids	396.64836	0.483767870863022	0.0163935873107042	0.143836292438839	0.483767870863022	0.0163935873107042	0.143836292438839	1.000001	13.5521061104607	0.0333277470274727	0.399502388101015	0.033327713699759
laurate	native	fatty acids and lipids	199.31	0.483767870863026	0.126894556912992	0.64073450584353	0.483767870863026	0.126894556912992	0.64073450584353	1.000001	10.2879131135822	0.103616367932304	0.133283510762099	0.103616264316039
oleate	native	fatty acids and lipids	282.4614	0.483767870863023	0.093106362527567	0.466914477697	0.483767870863023	0.093106362527567	0.466914477697	1.000001	8.95664935825339	0.0412042272063809	0.286757417536494	0.0412041860021949
palmitoleate	native	fatty acids and lipids	253.40026	0.483767870863024	0.105338479137097	0.559027678048144	0.483767870863024	0.105338479137097	0.559027678048144	1.000001	9.36878310628911	0.0409008445649239	0.287554300019103	0.0409008036641202
triacylglycerol	native	fatty acids and lipids	173.1003	0.483767870863023	2.75135776416551e-05	0.000119367787247806	0.483767870863023	2.75135776416551e-05	0.000119367787247806	1.000001	17.9669711009146	0.0328174290656384	0.366142766345237	0.0328173962482421
ergosterol	native	fatty acids and lipids	396.64836	0.483767870863024	0.0521958200906784	0.0969762358611849	0.483767870863024	0.0521958200906784	0.0969762358611849	1.000001	3.64566887337694	0.063064888758368	0.159216756467533	0.0630648256935423
catechin	heterologous	flavonoid	290.26	0.483767870863021	0.00218135413206077	0.00220981142653497	0.483767870863021	0.00218135413206077	0.00220981142653497	1.000001	2.39824732019518	0.103616367932304	0.478377586964772	0.103616264316039
genistein	heterologous	flavonoid	270.241	0.483767870863024	0.00147383368857429	0.00149308409151722	0.483767870863024	0.00147383368857429	0.00149308409151722	1.000001	2.39238410872228	0.103616367932304	0.477676494208831	0.103616264316039
kaempferol	heterologous	flavonoid	286.23	0.483767870863025	0.00200784431940267	0.00203384283501711	0.483767870863025	0.00200784431940267	0.00203384283501711	1.000001	2.39619095194996	0.103616367932304	0.478017619592615	0.103616264316039
naringenin	heterologous	flavonoid	272.257	0.483767870863026	0.00254594326799426	0.00257949777144361	0.483767870863026	0.00254594326799426	0.00257949777144361	1.000001	2.40028336397317	0.103616367932304	0.478279318106965	0.103616264316039
quercetin	heterologous	flavonoid	302.236	0.483767870863023	0.00200769941756247	0.00203369587614294	0.483767870863023	0.00200769941756247	0.00203369587614294	1.000001	2.39635932441474	0.103616367932304	0.478079319368411	0.103616264316039
adipic_acid	heterologous	organic acid	146.14	0.483767870863023	0.403207002349705	17.9362387811962	0.483767870863023	0.403207002349705	17.9362387811962	1.000001	32.2674546722421	0.0196503633739257	0.393975148124601	0.019650343723582
cis_muconate	heterologous	organic acid	142.11	0.483767870863022	0.424783638792968	25.6488418580912	0.483767870863022	0.424783638792968	25.6488418580912	1.000001	47.7145572370234	0.0183553829105639	0.41219638752544	0.0183553645551994
itaconic_acid	heterologous	organic acid	130.1	0.483767870863027	0.608359026416385	1.39810386532701	0.483767870863027	0.608359026416385	1.39810386532701	1.000001	3.07998906335084	0.0534387270072242	0.511337256368821	0.0534386735685507
caffeic_acid	heterologous	organic acid	180.16	0.483767870863024	0.00155429007662549	0.00157441625425781	0.483767870863024	0.00155429007662549	0.00157441625425781	1.000001	2.38447956725941	0.103616367932304	0.476130231026059	0.103616264316039
succinate	native	organic acid	118.09	0.483767870863023	0.821359908251645	28.4479177971163	0.483767870863023	0.821359908251645	28.4479177971163	1.000001	33.7993736317185	0.0231363565444788	0.425349899471739	0.0231363334081454
lactate	native	organic acid	89.07	0.487139936629347	1.06257726604227	50.9995715418187	0.487139936629347	1.06257726604227	50.9995715418187	1.000001	29.745144125707	0.0172231466852937	0.380209266350833	0.0172231294621642
malate	native	organic acid	132.07156	0.483767870863028	0.9059434063455	47.0198719840418	0.483767870863028	0.9059434063455	47.0198719840418	1.000001	55.8319480612605	0.0233262269295741	0.50201717917284	0.0233262036033705
oxoglutarate	native	organic acid	144.08226	0.483767870863023	0.67264785553086	14.1401535198577	0.483767870863023	0.67264785553086	14.1401535198577	1.000001	17.6294836508422	0.0171673315590338	0.517968638547797	0.0171673143917194
acetate	native	organic acid	60.052	0.483767870863024	1.44115678583513	40.1243223143579	0.483767870863024	1.44115678583513	40.1243223143579	1.000001	20.3773419758771	0.0161205552528149	0.511675786886735	0.0161205391322758
citrate	native	organic acid	189.0997	0.483767870863024	0.581046245303309	17.8229671337676	0.483767870863024	0.581046245303309	17.8229671337676	1.000001	29.8359877807037	0.020678289635821	0.569655562610161	0.0206782689575521
fumaric_acid	native	organic acid	116.0722	0.483767870863023	0.905943406345496	46.6849223031165	0.483767870863023	0.905943406345496	46.6849223031165	1.000001	55.442750131041	0.0233386190140339	0.502281592361097	0.0233385956754382
glycolate	native	organic acid	76.05136	0.483767870863024	1.45725708042162	14.7621429161335	0.483767870863024	1.45725708042162	14.7621429161335	1.000001	7.73292746183575	0.0262818940053964	0.426786740852891	0.0262818677235286
hexanoate	native	organic acid	115.15034	0.483767870863024	0.0810635780752311	0.0826516314924929	0.483767870863024	0.0810635780752311	0.0826516314924929	1.000001	3.35355453114003	0.103616367932304	0.109706013968287	0.103616264316039
pyruvate	native	organic acid	87.05412	0.766480993373105	1.05610427587884	148.034049408104	0.766480993373105	1.05610427587884	148.034049408104	1.000001	74.5163966581609	0.035660752572902	0.651593291126159	0.0356607169121851
resveratrol	heterologous	stilbenoids	228.25	0.48376787086302	0.0213132847129833	0.0216468550882621	0.48376787086302	0.0213132847129833	0.0216468550882621	1.000001	2.54689821095461	0.103616367932304	0.487645966770561	0.103616264316039
astaxanthin	heterologous	terpene	596.841	0.48376787086302	0.000350117486432156	0.00035460662821429	0.48376787086302	0.000350117486432156	0.00035460662821429	1.000001	2.38566521906351	0.103616367932304	0.472503688782839	0.103616264316039
betaxanthin	heterologous	terpene	358.3	0.483767870863023	0.00316786130800334	0.00320936290979833	0.483767870863023	0.00316786130800334	0.00320936290979833	1.000001	2.39537926378141	0.103616367932304	0.474837489888403	0.103616264316039
beta_carotene	heterologous	terpene	536.8726	0.483767870863022	0.000742832932705111	0.000752278792710773	0.483767870863022	0.000742832932705111	0.000752278792710773	1.000001	2.39096751459012	0.103616367932304	0.468048671038391	0.103616264316039
artemisinic_acid	heterologous	terpene	234.33	0.483767870863025	0.116313422530964	0.315853078554692	0.483767870863025	0.116313422530964	0.315853078554692	1.000001	4.03916579309946	0.0472822471201147	0.271004680287472	0.0472821998379148
farnesene	heterologous	terpene	204.36	0.483767870863021	0.123761768885814	0.186632958152066	0.483767870863021	0.123761768885814	0.186632958152066	1.000001	3.31410192144765	0.0739883219851246	0.26250269986776	0.0739882479968766
amorphadiene	heterologous	terpene	204.351	0.483767870863022	0.123761768885817	0.408698391863154	0.483767870863022	0.123761768885817	0.408698391863154	1.000001	4.42442909000313	0.0411145972123776	0.262502699867466	0.0411145560978215
geraniol	heterologous	terpene	154.25	0.483767870863024	0.185642653328721	0.645354304471085	0.483767870863024	0.185642653328721	0.645354304471085	1.000001	4.53211814559094	0.0397315057384681	0.26708493964259	0.0397314660070021
limonene	heterologous	terpene	136.24	0.483767870863024	0.185642653328721	0.400828211506883	0.483767870863024	0.185642653328721	0.400828211506883	1.000001	3.7170311690436	0.055742532995285	0.267084939642522	0.0557424772528078
linalool	heterologous	terpene	154.25	0.483767870863024	0.169604346064245	0.170434698587509	0.483767870863024	0.169604346064245	0.170434698587509	1.000001	2.94905279264569	0.103616367932304	0.279710909157661	0.103616264316039
lupeol	heterologous	terpene	426.72	0.483767870863022	0.00103204824183122	0.00104516372192633	0.483767870863022	0.00103204824183122	0.00104516372192633	1.000001	2.39156296186023	0.103616367932304	0.46023568593052	0.103616264316039
oleanolate	heterologous	terpene	456.7	0.483767870863024	0.00162825355814228	0.00164876562359404	0.483767870863024	0.00162825355814228	0.00164876562359404	1.000001	2.39811177259976	0.103616367932304	0.451564440875344	0.103616264316039
patchoulol	heterologous	terpene	222.36	0.483767870863024	0.0021625207608811	0.00218998300732734	0.483767870863024	0.0021625207608811	0.00218998300732734	1.000001	2.39188704572396	0.103616367932304	0.466919674980334	0.103616264316039
protopanaxadiol	heterologous	terpene	460.73	0.483767870863024	0.000624339438487237	0.000632320801632186	0.483767870863023	0.000624339438487239	0.000632320801632182	1.000001	2.38741841890404	0.103616367932304	0.466535754163137	0.103616264316039
santalene	heterologous	terpene	204.35	0.483767870863023	0.123761768885814	0.214293613553744	0.483767870863023	0.123761768885814	0.214293613553744	1.000001	3.45240519845603	0.06617880598002	0.262502699867813	0.0661787398012802
beta_amyrin	heterologous	terpene	426.72	0.483767870863022	0.0605876044613454	0.146852177265812	0.483767870863022	0.0605876044613454	0.146852177265812	1.000001	3.87393426622307	0.0511989183739281	0.196855526925201	0.0511988671750609
glycyrrhetinic_acid	heterologous	terpene	470.7	0.483767870863026	0.000773080716386495	0.000782942264222197	0.483767870863026	0.000773080716386495	0.000782942264222197	1.000001	2.38889704370691	0.103616367932304	0.464201137176233	0.103616264316039
lycopene	heterologous	terpene	536.873	0.483767870863022	0.000542140184239428	0.000549108596729966	0.483767870863022	0.000542140184239428	0.000549108596729966	1.000001	2.43936150475754	0.103616367932304	0.469491035752954	0.103616264316039
miltiradiene	heterologous	terpene	272.5	0.483767870863022	0.000566189750383972	0.000573453672205629	0.483767870863022	0.000566189750383972	0.000573453672205629	1.000001	2.38476015516868	0.103616367932304	0.473199325638673	0.103616264316039
nootkatone	heterologous	terpene	218.33	0.48376787086302	0.0145467802597979	0.0147148570905145	0.48376787086302	0.0145467802597979	0.0147148570905145	1.000001	2.45451141613989	0.103616367932304	0.420706043637632	0.103616264316039
squalene	heterologous	terpene	410.73	0.484248460449653	0.0612801739063171	0.235466406147783	0.484248460449653	0.0612801739063171	0.235466406147783	1.000001	4.75724098684794	0.103616367932304	0.259980786537257	0.103616264316039
taxadien_alpha_yl_acetate	heterologous	terpene	330.5	0.483767870863024	0.00158830071303842	0.00161055626329548	0.483767870863024	0.00158830071303842	0.00161055626329548	1.000001	2.43511922904598	0.103616367932304	0.49259973918157	0.103616264316039
valencene	heterologous	terpene	204.35	0.483767870863026	0.0145533660001324	0.0147215100351091	0.483767870863026	0.0145533660001324	0.0147215100351091	1.000001	2.45454468086287	0.103616367932304	0.420684871107723	0.103616264316039
