compound	type	family	MW	bioYield_gem	prodYield_gem	prodRate_gem	bioYield_ec	prodYield_ec	prod_rate_ec	cFlux_l_ec	cFlux_h_ec	Pburden	CCMratio	protScaled
l_pac	heterologous	alcohol	150.174	0.476544587413265	0.999998000002	1	0.476544587413265	0.999998000002	1	1.000001	4.4212352852824	0.0147928847373182	0.468004568982128	0.0147928699444482
n_butanol	heterologous	alcohol	74.23	0.48252162293413	0.448805197087229	6.31214124483166	0.48252162293413	0.448805197087229	6.31214124483166	1.000001	12.9201307015317	0.103616367932304	0.466813182927816	0.103616264316039
docosanol	heterologous	alcohol	326.61	0.484026005687825	0.00162104796661134	0.00164248817445419	0.484026005687825	0.00162104796661134	0.00164248817445419	1.000001	2.40925875205352	0.103616367932304	0.501390418511343	0.103616264316039
rrbutanediol	native	alcohol	90.121	0.483767870863022	0.573204969987404	72.4347488754438	0.483767870863022	0.573204969987404	72.4347488754438	1.000001	72.7742091896096	0.0152561054190958	0.420569039981121	0.0152560901630056
phenylethanol	native	alcohol	122.1644	0.483767870863024	0.273184070131316	4.49910223528932	0.483767870863024	0.273184070131316	4.49910223528932	1.000001	14.746254517294	0.0229148256535277	0.339566850585755	0.0229148027387249
glycerol	native	alcohol	92.09382	0.483767870863018	0.792008242542252	59.2171165763769	0.483767870863018	0.792008242542252	59.2171165763769	1.000001	61.5761938134429	0.0202575652375287	0.359764810437179	0.0202575449799837
methylbutanol	native	alcohol	88.14818	0.483767870863022	0.417197162896456	4.70074319281609	0.483767870863022	0.417197162896456	4.70074319281609	1.000001	7.3905751033899	0.0213049218417296	0.438770890372124	0.0213049005368291
isobutanol	native	alcohol	74.1216	0.483767870863023	0.516273312868262	15.1463027464575	0.483767870863023	0.516273312868262	15.1463027464575	1.000001	15.6839264951262	0.0191702355293957	0.36968648349597	0.0191702163591794
s_reticuline	heterologous	alkaloid	329.39	0.483767870863027	0.00107998120081451	0.00109403862161254	0.483767870863027	0.00107998120081451	0.00109403862161254	1.000001	2.39201427173116	0.103616367932304	0.471240465353044	0.103616264316039
psilocybin	heterologous	alkaloid	284.248101	0.483767870863023	0.000679105784068824	0.000687916998603537	0.483767870863023	0.000679105784068824	0.000687916998603537	1.000001	2.3870710572582	0.103616367932304	0.474074386380417	0.103616264316039
cinnamoyltropine	heterologous	alkaloid	307.82	0.483767870863021	0.000477600389594459	0.000483766821100778	0.483767870863021	0.000477600389594459	0.000483766821100778	1.000001	2.38341643564545	0.103616367932304	0.475568683065776	0.103616264316039
choline	native	alkaloid	104.1708	0.48376787086302	0.16942144002437	0.173421925528035	0.48376787086302	0.16942144002437	0.173421925528035	1.000001	3.6310201772019	0.103616367932304	0.103459536021223	0.103616264316039
hypoxanthine	native	alkaloid	136.11162	0.483767870863025	0.510204966026654	1.1332430748946	0.483767870863025	0.510204966026654	1.1332430748946	1.000001	8.38923332760566	0.0608419562371296	0.506594992678738	0.0608418953952343
xanthine	native	alkaloid	152.11102	0.483767870863023	0.477218117379998	0.711828009450574	0.483767870863023	0.477218117379998	0.711828009450574	1.000001	7.22698728714023	0.0816928131974256	0.378859888181152	0.0816927315046941
nicotianamine	heterologous	amino acid	303.3116	0.483955459451272	0.00250720487190907	0.00254082962713504	0.483955459451272	0.00250720487190907	0.00254082962713504	1.000001	2.40840336953528	0.103616367932304	0.462721766055392	0.103616264316039
ergothioneine	heterologous	amino acid	229.3	0.48376787086302	0.00224875833398329	0.0022783127361385	0.48376787086302	0.00224875833398329	0.0022783127361385	1.000001	2.40884646170502	0.103616367932304	0.469548894980354	0.103616264316039
glutathione	native	amino acid	307.32	0.483767870863023	0.236639794217859	2.79127441005915	0.483767870863023	0.236639794217859	2.79127441005915	1.000001	16.5692315006379	0.0234037371513003	0.419250216981665	0.0234037137475866
alanine	native	amino acid	89.09322	0.483767870863024	0.798653129460457	0.703594925825675	0.483767870863024	0.798653129460457	0.703594925825675	0.880975978527831	2.70762581601659	0.0176275122703957	0.382989670658328	0.0200090725513906
arginine	native	amino acid	174.201	0.48376787086302	0.233866621401886	0.175898731456416	0.48376787086302	0.233866621401886	0.175898731456416	0.752131939578575	4.56916050182785	0.0229611537864926	0.373824483023985	0.0305280929824066
asparagine	native	amino acid	132.118001	0.483767870863021	0.460746881103267	0.351797462912833	0.483767870863021	0.460746881103267	0.351797462912834	0.763536608805661	3.30652186169086	0.023552966391346	0.348696945366788	0.0308471998850035
aspartate	native	amino acid	133.1027	0.483767870863023	0.791984959669696	0.703594925825675	0.483767870863023	0.791984959669696	0.703594925825675	0.888393414092351	4.19262124314569	0.0180696219949461	0.449442759298646	0.0203396622580857
citrulline	native	amino acid	175.18584	0.483767870863024	0.294505987620685	0.234531641941891	0.483767870863024	0.294505987620685	0.234531641941891	0.796355311160308	3.11623309627818	0.0237282278060391	0.363676673063237	0.0297960313361463
cysteine	native	amino acid	121.158	0.483767870863028	0.542225377136441	0.703594925825665	0.483767870863028	0.542225377136441	0.703594925825665	1.000001	3.91380386521688	0.0279792288317812	0.374789444044977	0.0279792008525804
glutamate	native	amino acid	146.12136	0.483767870863023	0.615286654526109	0.703594925825672	0.483767870863023	0.615286654526109	0.703594925825672	1.000001	2.09693993382692	0.0169755721337277	0.518147925659974	0.0169755551581725
glutamine	native	amino acid	146.14458	0.483767870863024	0.422851045458881	0.351797462912832	0.483767870863024	0.422851045458881	0.351797462912832	0.83196462417067	3.86925552412799	0.0178741145498723	0.444947488917943	0.0214842242453395
glycine	native	amino acid	75.06664	0.483767870863023	0.945301579191042	0.703594925825667	0.483767870863023	0.945301579191042	0.703594925825667	0.744306618881196	5.00374703025754	0.0190598888420602	0.353385460162689	0.0256075767144326
histidine	native	amino acid	155.15468	0.483767870863024	0.286124327113061	0.23453164194189	0.483767870863024	0.286124327113061	0.23453164194189	0.819683561256835	3.94296804863028	0.0324337252905078	0.528616337936066	0.0395685930809404
homoserine	native	amino acid	119.1192	0.483767870863024	0.675981762784807	0.703594925825681	0.483767870863024	0.675981762784807	0.703594925825681	1.000001	3.24111906062781	0.0210677939388205	0.427142259449957	0.0210677728710476
isoleucine	native	amino acid	131.175	0.483767870863021	0.370381847265551	0.703594925825664	0.483767870863021	0.370381847265551	0.703594925825664	1.000001	4.52748713904954	0.0259306722313221	0.348051682574676	0.0259306463006759
leucine	native	amino acid	131.17296	0.483767870863022	0.390009243929684	0.703594925825666	0.483767870863022	0.390009243929684	0.703594925825666	1.000001	1.72324627213432	0.0203532903374251	0.421566484375277	0.0203532699841552
lysine	native	amino acid	147.19558	0.483767870863026	0.355120174419996	0.351797462912831	0.483767870863026	0.355120174419996	0.351797462912831	0.990642426018015	3.96514911646584	0.0324830455007672	0.548073305270367	0.0327898792214422
methionine	native	amino acid	149.21238	0.483767870863021	0.329124941705777	0.703594925825669	0.483767870863021	0.329124941705777	0.703594925825669	1.000001	2.34345031200254	0.028524165645876	0.365667248875278	0.0285241371217389
phenylalanine	native	amino acid	165.18918	0.483767870863025	0.269761936110344	0.703594925825665	0.483767870863025	0.269761936110344	0.703594925825665	1.000001	4.60139068928029	0.0230587527780961	0.348949700445143	0.0230587297193664
proline	native	amino acid	115.1305	0.483767870863024	0.48626885204424	0.703594925825665	0.483767870863024	0.48626885204424	0.703594925825665	1.000001	7.12000864530804	0.027624857272978	0.352908016552396	0.0276248296481483
serine	native	amino acid	105.09262	0.483767870863026	0.810352093982321	0.703594925825672	0.483767870863026	0.810352093982321	0.703594925825672	0.868257424711575	5.10016284602526	0.0205705316869861	0.377603298371601	0.0236917429111757
threonine	native	amino acid	119.1192	0.483767870863023	0.63336354472087	0.703594925825667	0.483767870863023	0.63336354472087	0.703594925825667	1.000001	3.73830723396372	0.0223296676906203	0.425598420544502	0.0223296453609749
tryptophan	native	amino acid	204.22526	0.483767870863022	0.215726161538789	0.351797462912833	0.483767870863022	0.215726161538789	0.351797462912833	1.000001	1.49332104325166	0.044631915716204	0.363603851999456	0.0446318710843329
tyrosine	native	amino acid	181.18858	0.483767870863023	0.282920684481262	0.703594925825655	0.483767870863023	0.282920684481262	0.703594925825655	1.000001	4.88019288960613	0.0233131586674056	0.34064523540366	0.0233131353542702
valine	native	amino acid	117.14638	0.483767870863024	0.50418179389718	0.703594925825678	0.483767870863024	0.50418179389718	0.703594925825678	1.000001	3.01816064720029	0.0190427261373639	0.395127234234364	0.0190427070946568
ornithine	native	amino acid	133.169	0.483767870863024	0.486268852044246	1.25707645760494	0.483767870863024	0.486268852044246	1.25707645760494	1.000001	3.74276995975934	0.051974524473534	0.352197362137561	0.0519744724990615
hydroxymandelic_acid	heterologous	aromatic	168.148	0.485872821926507	0.297438642383119	3.73281522098271	0.485872821926507	0.297438642383119	3.73281522098271	1.000001	12.3316634612675	0.0241216378696413	0.336747449810016	0.0241216137480275
cinnamate	heterologous	aromatic	148.1586	0.483767870863023	0.269761936110346	3.85576613896576	0.483767870863023	0.269761936110346	3.85576613896576	1.000001	13.2983940973182	0.0232824179829269	0.348935719144326	0.0232823947005322
mandelic_acid	heterologous	aromatic	152.1473	0.485872821926511	0.282929848787767	2.73361400294991	0.485872821926511	0.282929848787767	2.73361400294991	1.000001	9.89492804675917	0.0262850424018375	0.345054919293432	0.0262850161168214
coumaric_acid	heterologous	aromatic	164.0473	0.483767870863025	0.126726611258067	0.129251866395723	0.483767870863025	0.126726611258067	0.129251866395723	1.000001	2.72916600283677	0.103616367932304	0.451857694351573	0.103616264316039
rosmarinic_acid	heterologous	aromatic	360.31	0.483767870863021	0.118335113022035	0.122382336010168	0.483767870863021	0.118335113022035	0.122382336010168	1.000001	3.16920855431456	0.103616367932304	0.422710323582444	0.103616264316039
